algoritmo,n,t,d,m,tiempo_us,memoria_kb
stdsort,100000,descendente,D7,b,2044,4548
mergesort,100000,descendente,D7,b,5122,4888
quicksort,100000,descendente,D7,b,2676,4888
patiencesort,100000,descendente,D7,b,3624,6208
stdsort,100000,descendente,D7,c,913,4672
mergesort,100000,descendente,D7,c,6556,5016
quicksort,100000,descendente,D7,c,771,5016
patiencesort,100000,descendente,D7,c,5031,6336
stdsort,1000,aleatorio,D1,a,43,2488
mergesort,1000,aleatorio,D1,a,69,2488
quicksort,1000,aleatorio,D1,a,24,2488
patiencesort,1000,aleatorio,D1,a,59,2488
stdsort,1000,aleatorio,D1,b,271,2488
mergesort,1000,aleatorio,D1,b,157,2488
quicksort,1000,aleatorio,D1,b,31,2488
patiencesort,1000,aleatorio,D1,b,49,2488
stdsort,1000,aleatorio,D1,c,26,2488
mergesort,1000,aleatorio,D1,c,258,2488
quicksort,1000,aleatorio,D1,c,32,2488
patiencesort,1000,aleatorio,D1,c,54,2488
stdsort,1000,aleatorio,D7,a,144,2488
mergesort,1000,aleatorio,D7,a,291,2488
quicksort,1000,aleatorio,D7,a,58,2488
patiencesort,1000,aleatorio,D7,a,203,2488
stdsort,1000,aleatorio,D7,b,43,2488
mergesort,1000,aleatorio,D7,b,87,2488
quicksort,1000,aleatorio,D7,b,133,2488
patiencesort,1000,aleatorio,D7,b,381,2488
stdsort,1000,aleatorio,D7,c,43,2488
mergesort,1000,aleatorio,D7,c,73,2488
quicksort,1000,aleatorio,D7,c,57,2488
patiencesort,1000,aleatorio,D7,c,272,2488
stdsort,1000,ascendente,D1,a,16,2488
mergesort,1000,ascendente,D1,a,172,2488
quicksort,1000,ascendente,D1,a,14,2488
patiencesort,1000,ascendente,D1,a,71,2488
stdsort,1000,ascendente,D1,b,35,2488
mergesort,1000,ascendente,D1,b,68,2488
quicksort,1000,ascendente,D1,b,13,2488
patiencesort,1000,ascendente,D1,b,97,2488
stdsort,1000,ascendente,D1,c,39,2488
mergesort,1000,ascendente,D1,c,122,2488
quicksort,1000,ascendente,D1,c,49,2488
patiencesort,1000,ascendente,D1,c,31,2488
stdsort,1000,ascendente,D7,a,15,2488
mergesort,1000,ascendente,D7,a,36,2488
quicksort,1000,ascendente,D7,a,34,2488
patiencesort,1000,ascendente,D7,a,137,3764
stdsort,1000,ascendente,D7,b,20,2488
mergesort,1000,ascendente,D7,b,142,2488
quicksort,1000,ascendente,D7,b,10,2488
patiencesort,1000,ascendente,D7,b,195,2488
stdsort,1000,ascendente,D7,c,32,2488
mergesort,1000,ascendente,D7,c,34,2488
quicksort,1000,ascendente,D7,c,27,2488
patiencesort,1000,ascendente,D7,c,375,3732
stdsort,1000,descendente,D1,a,11,2488
mergesort,1000,descendente,D1,a,107,2488
quicksort,1000,descendente,D1,a,13,2488
patiencesort,1000,descendente,D1,a,107,2488
stdsort,1000,descendente,D1,b,12,2488
mergesort,1000,descendente,D1,b,50,2488
quicksort,1000,descendente,D1,b,18,2488
patiencesort,1000,descendente,D1,b,25,2488
stdsort,1000,descendente,D1,c,32,2488
mergesort,1000,descendente,D1,c,63,2488
quicksort,1000,descendente,D1,c,38,2488
