algoritmo,n,t,d,m,tiempo_us,memoria_kb
strassen,16,dispersa,D0,b,9,2476
naive,16,dispersa,D0,c,6,2476
strassen,16,dispersa,D0,c,12,2476
naive,16,dispersa,D10,a,7,2476
strassen,16,dispersa,D10,a,9,2476
naive,16,dispersa,D10,b,10,2476
strassen,16,dispersa,D10,b,12,2476
naive,16,dispersa,D10,c,4,2476
strassen,16,dispersa,D10,c,11,2476
naive,256,densa,D0,a,3511,4300
strassen,256,densa,D0,a,7844,5420
naive,256,densa,D0,b,2875,4220
strassen,256,densa,D0,b,8278,5392
naive,256,densa,D0,c,3430,4324
strassen,256,densa,D0,c,9800,5452
naive,256,densa,D10,a,3288,4272
strassen,256,densa,D10,a,8635,5520
naive,256,densa,D10,b,3053,4152
strassen,256,densa,D10,b,8804,5496
naive,256,densa,D10,c,3106,4112
strassen,256,densa,D10,c,9482,5588
naive,256,diagonal,D0,a,3364,4136
strassen,256,diagonal,D0,a,9710,5632
naive,256,diagonal,D0,b,3475,4268
strassen,256,diagonal,D0,b,7978,5704
naive,256,diagonal,D0,c,3265,4136
strassen,256,diagonal,D0,c,9066,5536
naive,256,diagonal,D10,a,3772,4176
strassen,256,diagonal,D10,a,9851,5492
naive,256,diagonal,D10,b,2885,4176
strassen,256,diagonal,D10,b,8979,5612
naive,256,diagonal,D10,c,3937,4388
strassen,256,diagonal,D10,c,8965,5448
naive,256,dispersa,D0,a,3332,4176
strassen,256,dispersa,D0,a,8683,5528
naive,256,dispersa,D0,b,2893,4288
strassen,256,dispersa,D0,b,10111,5492
naive,256,dispersa,D0,c,3806,4260
strassen,256,dispersa,D0,c,9291,5456
naive,256,dispersa,D10,a,3179,4132
strassen,256,dispersa,D10,a,8890,5592
naive,256,dispersa,D10,b,2999,4132
strassen,256,dispersa,D10,b,8838,5704
naive,256,dispersa,D10,c,3300,4300
strassen,256,dispersa,D10,c,10537,5456
naive,64,densa,D0,a,66,2476
strassen,64,densa,D0,a,181,2476
naive,64,densa,D0,b,62,2476
strassen,64,densa,D0,b,134,2476
naive,64,densa,D0,c,171,2476
strassen,64,densa,D0,c,181,2476
naive,64,densa,D10,a,63,2476
strassen,64,densa,D10,a,114,2476
naive,64,densa,D10,b,70,2476
strassen,64,densa,D10,b,240,2476
naive,64,densa,D10,c,57,2476
strassen,64,densa,D10,c,139,2476
naive,64,diagonal,D0,a,71,2476
strassen,64,diagonal,D0,a,120,2476
naive,64,diagonal,D0,b,65,2476
strassen,64,diagonal,D0,b,114,2476
naive,64,diagonal,D0,c,56,2476
strassen,64,diagonal,D0,c,117,2476
naive,64,diagonal,D10,a,76,2476
strassen,64,diagonal,D10,a,138,2476
naive,64,diagonal,D10,b,51,2476
strassen,64,diagonal,D10,b,136,2476
naive,64,diagonal,D10,c,145,2476
strassen,64,diagonal,D10,c,114,2476
naive,64,dispersa,D0,a,59,2476
strassen,64,dispersa,D0,a,296,2476
naive,64,dispersa,D0,b,58,2476
strassen,64,dispersa,D0,b,137,2476
naive,64,dispersa,D0,c,56,2476
strassen,64,dispersa,D0,c,112,2476
naive,64,dispersa,D10,a,65,2476
strassen,64,dispersa,D10,a,220,2476
naive,64,dispersa,D10,b,63,2476
strassen,64,dispersa,D10,b,478,2476
naive,64,dispersa,D10,c,58,2476
strassen,64,dispersa,D10,c,137,2476
naive,1024,densa,D0,a,426938,15808
strassen,1024,densa,D0,a,708053,35788
naive,1024,densa,D0,b,496227,15748
strassen,1024,densa,D0,b,1028937,35856
naive,1024,densa,D0,c,661141,15780
strassen,1024,densa,D0,c,1041110,35856
naive,1024,densa,D10,a,689872,15852
strassen,1024,densa,D10,a,998576,35820
naive,1024,densa,D10,b,675688,15868
strassen,1024,densa,D10,b,1066918,35820
naive,1024,densa,D10,c,672313,15744
strassen,1024,densa,D10,c,1087196,35860
naive,1024,diagonal,D0,a,715850,15748
strassen,1024,diagonal,D0,a,1000086,35864
naive,1024,diagonal,D0,b,656701,15780
strassen,1024,diagonal,D0,b,1030021,35828
naive,1024,diagonal,D0,c,639169,15868
strassen,1024,diagonal,D0,c,1052988,35912
naive,1024,diagonal,D10,a,620133,15844
strassen,1024,diagonal,D10,a,1098683,35948
naive,1024,diagonal,D10,b,667702,15764
strassen,1024,diagonal,D10,b,1057368,35856
naive,1024,diagonal,D10,c,637191,15740
strassen,1024,diagonal,D10,c,968296,35804
naive,1024,dispersa,D0,a,687348,15764
strassen,1024,dispersa,D0,a,1134760,35928
naive,1024,dispersa,D0,b,648448,15796
strassen,1024,dispersa,D0,b,1088544,35796
naive,1024,dispersa,D0,c,683692,15740
strassen,1024,dispersa,D0,c,1048897,35864
naive,1024,dispersa,D10,a,642678,15804
strassen,1024,dispersa,D10,a,966163,35856
naive,1024,dispersa,D10,b,673662,15744
strassen,1024,dispersa,D10,b,979401,35908
naive,1024,dispersa,D10,c,345667,15796
strassen,1024,dispersa,D10,c,933728,35908
naive,16,densa,D0,a,10,2528
strassen,16,densa,D0,a,23,2528
naive,16,densa,D0,b,14,2528
strassen,16,densa,D0,b,23,2528
naive,16,densa,D0,c,9,2528
